OBJECTID,C_PRINT,Parcelnum,Address_1,Address_2,Zipcode,Property_C,Municipali,Garabage_D,Updated,Shape__Area,Shape__Length
1,82.-1-23,23,12644,West County House Road,14411,241,Town of Albion,Friday,September 2023,510200.141723633,4889.35071947352
2,82.-1-21.1,21.1,0,West County House Road,14411,105,Town of Albion,Friday,September 2023,84132.2557373047,1160.58230360781
3,83.-1-61.21,61.21,4115,Eagle Harbor West Barre Road,14411,220,Town of Albion,Friday,September 2023,39302.4327392578,843.651961585582
4,82.-1-20.222,20.222,0,West County House Road,14411,105,Town of Albion,Friday,September 2023,17462.2733154297,912.788452005374
5,82.-1-27.2,27.2,12601,West County House Road,14411,210,Town of Albion,Friday,September 2023,378115.456176758,2682.88349977791
6,82.-1-25,25,12607,West County House Road,14411,210,Town of Albion,Friday,September 2023,113836.018920898,1449.27394918174
7,82.-1-26,26,4095,Taylor Hill Road,14411,210,Town of Albion,Friday,September 2023,36145.5090332031,837.308795579843
8,84.-1-54,54,14363,West Lee Road,14411,210,Town of Albion,Friday,September 2023,17315.7432861328,527.392682551139
9,83.-1-61.31,61.31,4109,Eagle Harbor West Barre Road,14411,220,Town of Albion,Friday,September 2023,62606.3170166016,994.998331332617
10,82.-1-20.221,20.221,0,West County House Road,14411,105,Town of Albion,Friday,September 2023,493418.454467773,3905.81612148459
11,84.-1-51,51,0,East Lee Road,14411,314,Town of Albion,Friday,September 2023,60270.1691894531,1584.56600081225
12,84.-1-45.12,45.12,14444,East Lee Road,14411,210,Town of Albion,Friday,September 2023,51583.9050292969,914.800135163276
13,82.-2-37.11,37.11,0,West County House Road,14411,120,Town of Albion,Friday,September 2023,406087.407226563,2610.60746145144
14,84.-1-55.1,55.1,14343,West Lee Road,14411,210,Town of Albion,Friday,September 2023,86140.3006591797,1185.6824768178
15,84.-1-28.1,28.1,14500,East Lee Road,14411,210,Town of Albion,Friday,September 2023,90534.0441894531,1204.55804934807
16,84.-1-27,27,14530,East Lee Road,14411,449,Town of Albion,Friday,September 2023,70330.5725097656,1104.68801836406
17,82.-2-39,39,12966,West County House Road,14411,210,Town of Albion,Friday,September 2023,76223.4069824219,1203.00380710183
18,82.-1-19,19,12947,West County House Road,14411,210,Town of Albion,Friday,September 2023,30306.8046875,724.478614127941
19,84.-1-26.1,26.1,14550,East Lee Road,14411,271,Town of Albion,Friday,September 2023,204427.186523438,1840.80030139756
20,85.-2-16.1,16.1,15397,Power Line Road,14411,210,Town of Albion,Friday,September 2023,41441.0626220703,880.207903064708
21,82.-2-40,40,0,West County House Road,14411,314,Town of Albion,Friday,September 2023,80098.7537841797,1192.69038070899
22,85.-1-53.1,53.1,0,East Lee Road,14411,321,Town of Albion,Friday,September 2023,248200.596801758,2086.72614085563
23,84.-1-49.1,49.1,14459,East Lee Road,14411,210,Town of Albion,Friday,September 2023,51663.9610595703,936.395687307754
24,84.-1-47,47,14471,East Lee Road,14411,210,Town of Albion,Friday,September 2023,53318.2690429688,930.730735670155
25,84.-1-52.2,52.2,14383,East Lee Road,14411,210,Town of Albion,Friday,September 2023,160963.258666992,1735.53374104597
26,84.-1-46,46,14485,East Lee Road,14411,210,Town of Albion,Friday,September 2023,51006.7810058594,915.803003294608
27,84.-1-52.12,52.12,14403,East Lee Road,14411,311,Town of Albion,Friday,September 2023,269708.644042969,2085.6739013169
28,84.-1-56.1,56.1,0,West Lee Road,14411,105,Town of Albion,Friday,September 2023,669321.528320313,3274.37124420668
29,84.-1-56.2,56.2,0,West Lee Road,14411,311,Town of Albion,Friday,September 2023,363894.44934082,2508.16115120704
30,82.-2-42.11,42.11,13020,West County House Road,14411,280,Town of Albion,Friday,September 2023,473260.744018555,2953.68710325721
31,84.-1-55.2,55.2,0,West Lee Road,14411,105,Town of Albion,Friday,September 2023,1110690.85742188,5416.48598752049
32,84.-1-53,53,4084,Route 98,14411,210,Town of Albion,Friday,September 2023,35486.462890625,837.989504391424
33,82.-2-36,36,0,West County House Road,14411,311,Town of Albion,Friday,September 2023,66238.826171875,1115.70723798185
34,85.-2-17.12,17.12,15469,Power Line Road,14411,210,Town of Albion,Friday,September 2023,94571.2668457031,1332.57977547712
35,85.-2-15,15,15481,Power Line Road,14411,210,Town of Albion,Friday,September 2023,105060.785400391,1375.96240577992
36,84.-1-25,25,14565,East Lee Road,14411,210,Town of Albion,Friday,September 2023,145662.839355469,1721.41724146372
37,85.-2-30.1,30.1,0,Power Line Road,14411,323,Town of Albion,Friday,September 2023,211836.850341797,1885.32449820251
38,85.-2-30.2,30.2,0,Power Line Road,14411,323,Town of Albion,Friday,September 2023,99777.72265625,1488.48911437733
39,85.-2-27.1,27.1,0,Power Line Road,14411,323,Town of Albion,Friday,September 2023,504658.738647461,2924.85796428445
40,82.-2-35.1,35.1,13046,West County House Road,14411,210,Town of Albion,Friday,September 2023,113315.612060547,1382.28341607612
41,85.-2-34.11,34.11,15180,East Lee Road,14411,210,Town of Albion,Friday,September 2023,45977.3349609375,899.467414002343
42,82.-2-43,43,13035,West County House Road,14411,210,Town of Albion,Friday,September 2023,40504.7633056641,841.192902437611
43,82.-2-42.12,42.12,4056,Long Bridge Road,14411,210,Town of Albion,Friday,September 2023,407695.058227539,2667.00944721362
44,84.-1-52.11,52.11,4071,Route 98,14411,210,Town of Albion,Friday,September 2023,362868.514038086,2461.34776607403
45,84.-1-50,50,14423,East Lee Road,14411,210,Town of Albion,Friday,September 2023,434190.168457031,2811.29821570947
46,82.-2-41,41,0,Long Bridge Road,14411,695,Town of Albion,Friday,September 2023,24082.5963134766,620.91459659487
47,85.-2-32,32,15207,East Lee Road,14411,210,Town of Albion,Friday,September 2023,48348.2838134766,1050.1922607915
48,84.-1-45.111,45.111,0,East Lee Road,14411,314,Town of Albion,Friday,September 2023,141681.962036133,1626.62633756201
49,84.-1-24,24,14549,East Lee Road,14411,210,Town of Albion,Friday,September 2023,286459.354614258,2194.13089276624
50,84.-1-30.1,30.1,14501,East Lee Road,14411,240,Town of Albion,Friday,September 2023,708490.976074219,3792.62529452759
51,84.-1-29,29,14523,East Lee Road,14411,215,Town of Albion,Friday,September 2023,339673.927856445,2404.59166456915
52,85.-2-34.2,34.2,15181,East Lee Road,14411,210,Town of Albion,Friday,September 2023,19544.9936523438,637.517646021498
53,71.-1-83,83,0,Eagle Harbor West Barre Road,14411,105,Town of Albion,Friday,September 2023,917011.682983398,4323.00747831061
54,72.-1-1.21,1.21,3447,Eagle Harbor West Barre Road,14411,210,Town of Albion,Friday,September 2023,364368.48840332,2417.84770296
55,85.-1-43.3,43.3,0,East Lee Road,14411,105,Town of Albion,Friday,September 2023,466760.250366211,3025.857902122
56,85.-1-55,55,14818,East Lee Road,14411,210,Town of Albion,Friday,September 2023,48726.9379882813,1044.15838087564
57,82.-2-42.21,42.21,0,Long Bridge Road,14411,105,Town of Albion,Friday,September 2023,336660.812988281,2526.3889825509
58,85.-1-54.1,54.1,14822,East Lee Road,14411,270,Town of Albion,Friday,September 2023,116028.942504883,1594.76650235397
59,84.-1-76.1,76.1,0,East Lee Road,14411,120,Town of Albion,Friday,September 2023,2769112.0982666,10881.85873722
60,84.-1-21.1,21.1,14720,East Lee Road,14411,270,Town of Albion,Friday,September 2023,36461.1535644531,786.198792190237
61,85.-1-56,56,14832,East Lee Road,14411,270,Town of Albion,Friday,September 2023,91274.3768310547,1569.07298292516
62,83.-1-47.121,47.121,4042,Gaines Basin Road,14411,210,Town of Albion,Friday,September 2023,59503.5968017578,981.288765242286
63,85.-1-57.1,57.1,14838,East Lee Road,14411,210,Town of Albion,Friday,September 2023,223725.026000977,3205.32076008988
64,85.-1-51,51,14846,East Lee Road,14411,210,Town of Albion,Friday,September 2023,51280.8518066406,1037.1039695461
65,85.-1-50,50,14856,East Lee Road,14411,270,Town of Albion,Friday,September 2023,17054.9251708984,558.424562653039
66,85.-1-43.2,43.2,14860,East Lee Road,14411,270,Town of Albion,Friday,September 2023,19749.7591552734,586.439326226592
67,85.-1-49,49,14866,East Lee Road,14411,210,Town of Albion,Friday,September 2023,18218.26953125,567.326381599883
68,85.-1-20.1,20.1,15146,East Lee Road,14411,240,Town of Albion,Friday,September 2023,1510695.27001953,5025.52949821379
69,82.-1-20.21,20.21,0,West County House Road,14411,105,Town of Albion,Friday,September 2023,1649690.88024902,5206.0157909302
70,85.-1-48,48,14870,East Lee Road,14411,270,Town of Albion,Friday,September 2023,18240.5859375,566.717019076745
71,85.-1-46,46,14874,East Lee Road,14411,270,Town of Albion,Friday,September 2023,17812.5518798828,561.156939078581
72,82.-2-33.1,33.1,13077,West County House Road,14411,210,Town of Albion,Friday,September 2023,73519.3557128906,1122.3566612789
73,85.-1-45,45,14878,East Lee Road,14411,270,Town of Albion,Friday,September 2023,21804.8974609375,604.74203939187
74,83.-1-46.21,46.21,4041,Gaines Basin Road,14411,210,Town of Albion,Friday,September 2023,83186.1740722656,1170.00961247168
75,84.-1-60.1,60.1,4048,Route 98,14411,431,Town of Albion,Friday,September 2023,988882.915039063,4073.17050553689
76,84.-1-16.2,16.2,14711,East Lee Road,14411,210,Town of Albion,Friday,September 2023,28140.1381835938,676.77343288133
77,83.-1-46.121,46.121,4025,Gaines Basin Road,14411,210,Town of Albion,Friday,September 2023,37119.7003173828,790.299986033954
78,84.-1-44.11,44.11,0,Route 98,14411,330,Town of Albion,Friday,September 2023,465065.12890625,2858.34483739032
79,85.-1-47,47,0,East Lee Road,14411,105,Town of Albion,Friday,September 2023,2044469.03112793,5909.52388460034
80,84.-1-17,17,14747,East Lee Road,14411,210,Town of Albion,Friday,September 2023,43552.693359375,857.999652439401
81,82.-1-24.1,24.1,0,West County House Road,14411,105,Town of Albion,Friday,September 2023,153329.586547852,1655.67247649345
82,83.-1-47.112,47.112,4030,Gaines Basin Road,14411,210,Town of Albion,Friday,September 2023,91034.3737792969,1209.89173425643
83,85.-1-19,19,15145,East Lee Road,14411,210,Town of Albion,Friday,September 2023,40224.6612548828,844.577272710557
84,84.-1-18.1,18.1,14759,East Lee Road,14411,210,Town of Albion,Friday,September 2023,44986.8361816406,899.999612259914
85,84.-1-31.122,31.122,0,East County House Road,14411,311,Town of Albion,Friday,September 2023,327703.809204102,2936.73141289169
86,85.-1-40.1,40.1,14948,East Lee Road,14411,215,Town of Albion,Friday,September 2023,80718.6176757813,1208.07874185918
87,85.-1-42.2,42.2,14893,East Lee Road,14411,270,Town of Albion,Friday,September 2023,24526.5078125,633.481916841241
88,84.-1-19,19,0,East Lee Road,14411,105,Town of Albion,Friday,September 2023,790126.640991211,3688.67410177483
89,85.-1-18,18,15131,East Lee Road,14411,210,Town of Albion,Friday,September 2023,43459.1356201172,1010.1835908146
90,85.-1-42.1,42.1,14903,East Lee Road,14411,210,Town of Albion,Friday,September 2023,53108.9381103516,1010.28717443442
91,85.-1-38,38,0,East Lee Road,14411,105,Town of Albion,Friday,September 2023,933214.708740234,4438.19971822013
92,85.-1-41,41,14915,East Lee Road,14411,210,Town of Albion,Friday,September 2023,19569.2971191406,568.826791466108
93,85.-1-29.2,29.2,0,Culver Road,14411,314,Town of Albion,Friday,September 2023,69716.3016357422,1227.30308160558
94,85.-1-29.1,29.1,4045,Culver Road,14411,210,Town of Albion,Friday,September 2023,72702.3150634766,1242.2775140598
95,82.-2-29.2,29.2,13151,West County House Road,14411,210,Town of Albion,Friday,September 2023,17480.7043457031,542.201256990022
96,85.-2-14,14,15493,Power Line Road,14411,240,Town of Albion,Friday,September 2023,829464.376220703,4204.30972554434
97,85.-2-17.111,17.111,15383,Power Line Road,14411,241,Town of Albion,Friday,September 2023,2689752.50830078,8273.81431991498
98,85.-1-28,28,15032,East Lee Road,14411,210,Town of Albion,Friday,September 2023,61367.9227294922,1009.38266100587
99,85.-1-22.1,22.1,15064,East Lee Road,14411,240,Town of Albion,Friday,September 2023,807842.356811523,4375.05374907175
100,83.-1-62.1,62.1,4009,Eagle Harbor West Barre Road,14411,210,Town of Albion,Friday,September 2023,71877.0841064453,1072.86963848305
101,83.-1-62.22,62.22,0,West County House Road,14411,105,Town of Albion,Friday,September 2023,1482095.87121582,5259.47020030915
102,83.-1-63,63,13496,West County House Road,14411,210,Town of Albion,Friday,September 2023,63934.3431396484,1131.96328775589
103,82.-2-22.11,22.11,13420,West County House Road,14411,210,Town of Albion,Friday,September 2023,99504.2877197266,1261.58692905039
104,83.-1-60.111,60.111,13506,West County House Road,14411,210,Town of Albion,Friday,September 2023,75790.3566894531,1199.11519790021
105,82.-2-26.1,26.1,13324,West County House Road,14411,210,Town of Albion,Friday,September 2023,175271.812744141,1759.84993135575
106,82.-2-23.1,23.1,13350,West County House Road,14411,210,Town of Albion,Friday,September 2023,21941.0433349609,592.582881113535
107,84.-1-16.12,16.12,0,East Lee Road,14411,314,Town of Albion,Friday,September 2023,148159.064086914,5691.59751964092
108,82.-2-23.2,23.2,13360,West County House Road,14411,210,Town of Albion,Friday,September 2023,21704.3767089844,593.33537917426
109,83.-1-73.1,73.1,4013,Gaines Basin Road,14411,210,Town of Albion,Friday,September 2023,106772.870849609,1333.90435517795
110,72.-1-5.1,5.1,13748,Albion Eagle Harbor Road,14411,210,Town of Albion,Friday,September 2023,50398.9522705078,903.999976085423
111,84.-1-22.2,22.2,14362,East County House Road,14411,215,Town of Albion,Friday,September 2023,680521.021972656,3527.17814809891
112,84.-1-22.3,22.3,14616,East County House Road,14411,215,Town of Albion,Friday,September 2023,558783.884887695,2981.19741822359
113,82.-2-22.21,22.21,0,West County House Road,14411,105,Town of Albion,Friday,September 2023,2530335.73413086,6810.30463581134
114,83.-1-75,75,0,West County House Road,14411,105,Town of Albion,Friday,September 2023,2313651.15454102,8461.82821848437
115,82.-1-27.1,27.1,0,Taylor Hill Road,14411,105,Town of Albion,Friday,September 2023,2913656.45983887,7762.30671821441
116,83.-1-60.213,60.213,0,West County House Road,14411,105,Town of Albion,Friday,September 2023,2129482.90368652,6422.298956357
117,85.-1-43.11,43.11,14877,East Lee Road,14411,210,Town of Albion,Friday,September 2023,89599.7326660156,1290.27078232962
118,83.-1-56.1,56.1,13598,West County House Road,14411,210,Town of Albion,Friday,September 2023,94278.2416992188,1234.2186904593
119,82.-1-28,28,0,Wood Road,14411,105,Town of Albion,Friday,September 2023,350324.113647461,2738.64807219061
120,83.-1-55,55,13646,West County House Road,14411,241,Town of Albion,Friday,September 2023,3357355.02966309,7461.78442050203
121,83.-1-50.21,50.21,13700,West County House Road,14411,210,Town of Albion,Friday,September 2023,60586.9437255859,1024.93662334969
122,83.-1-49.1,49.1,0,West County House Road,14411,695,Town of Albion,Friday,September 2023,93210.6165771484,1227.48848388372
123,82.-2-33.21,33.21,13045,West County House Road,14411,240,Town of Albion,Friday,September 2023,459956.708007813,3047.20974626401
124,82.-2-31.2,31.2,13097,West County House Road,14411,240,Town of Albion,Friday,September 2023,875110.875488281,5137.13871771239
125,83.-1-48.2,48.2,0,West County House Road,14411,105,Town of Albion,Friday,September 2023,3618408.67333984,7975.14065114682
126,83.-1-72.2,72.2,0,Gaines Basin Road,14411,120,Town of Albion,Friday,September 2023,2305309.50219727,6830.80537841063
127,83.-1-44.1,44.1,13874,West County House Road,14411,210,Town of Albion,Friday,September 2023,24164.2640380859,723.238434848151
128,83.-1-73.2,73.2,0,Gaines Basin Road,14411,105,Town of Albion,Friday,September 2023,2645361.37670898,7009.02107019596
129,83.-1-30.1,30.1,13998,West County House Road,14411,210,Town of Albion,Friday,September 2023,27647.8271484375,665.855128880233
130,83.-1-29.12,29.12,14004,West County House Road,14411,240,Town of Albion,Friday,September 2023,820236.857299805,4253.96244365504
131,83.-1-28.1,28.1,14064,West County House Road,14411,691,Town of Albion,Friday,September 2023,857475.46472168,6355.61529638121
132,84.-1-58.113,58.113,14158,West County House Road,14411,210,Town of Albion,Friday,September 2023,44425.7205810547,844.725323859647
133,84.-1-58.111,58.111,14174,West County House Road,14411,210,Town of Albion,Friday,September 2023,88023.3608398438,1236.87398124639
134,84.-1-58.114,58.114,14184,West County House Road,14411,270,Town of Albion,Friday,September 2023,39719.6947021484,801.478583108767
135,84.-1-58.117,58.117,14192,West County House Road,14411,270,Town of Albion,Friday,September 2023,75101.5162353516,1125.04126797614
136,84.-1-58.116,58.116,14212,West County House Road,14411,210,Town of Albion,Friday,September 2023,32239.0241699219,730.697614398541
137,84.-1-59,59,14222,West County House Road,14411,210,Town of Albion,Friday,September 2023,46670.1729736328,867.96166074865
138,84.-1-58.2,58.2,14234,West County House Road,14411,210,Town of Albion,Friday,September 2023,54109.1160888672,932.620000318628
139,84.-1-58.115,58.115,14244,West County House Road,14411,210,Town of Albion,Friday,September 2023,23313.0108642578,648.640381496377
140,84.-1-58.112,58.112,0,West County House Road,14411,105,Town of Albion,Friday,September 2023,3466948.73779297,8760.86583648617
141,84.-1-61.11,61.11,14280,West County House Road,14411,210,Town of Albion,Friday,September 2023,74494.5590820313,1092.625744315
142,85.-1-24.1,24.1,15059,East Lee Road,14411,210,Town of Albion,Friday,September 2023,38707.0936279297,798.093300635026
143,84.-1-61.121,61.121,14326,West County House Road,14411,442,Town of Albion,Friday,September 2023,561239.605957031,3645.0343320795
144,84.-1-62.1,62.1,4010,Route 98,14411,210,Town of Albion,Friday,September 2023,92666.0310058594,1239.01947548521
145,83.-1-43,43,13883,West County House Road,14411,210,Town of Albion,Friday,September 2023,17070.20703125,642.612732303555
146,84.-1-43.11,43.11,4015,Route 98,14411,710,Town of Albion,Friday,September 2023,488133.483520508,2883.87824592093
147,84.-1-43.12,43.12,14448,East County House Road,14411,210,Town of Albion,Friday,September 2023,213240.910888672,2498.39557718744
148,84.-1-43.22,43.22,14454,East County House Road,14411,210,Town of Albion,Friday,September 2023,214472.598266602,2499.00443430512
149,84.-1-43.21,43.21,14460,East County House Road,14411,210,Town of Albion,Friday,September 2023,194714.079956055,2467.11919819997
150,83.-1-64.1,64.1,13465,West County House Road,14411,210,Town of Albion,Friday,September 2023,47646.5958251953,902.9994319172
151,83.-1-54,54,13629,West County House Road,14411,210,Town of Albion,Friday,September 2023,48766.4884033203,931.169103384139
152,84.-1-42,42,14395,East County House Road,14411,241,Town of Albion,Friday,September 2023,2707156.43212891,9316.10872803066
153,84.-1-32,32,14490,East County House Road,14411,210,Town of Albion,Friday,September 2023,86174.2288818359,1288.60718206741
154,84.-1-34,34,14498,East County House Road,14411,210,Town of Albion,Friday,September 2023,39129.8673095703,811.736955219358
155,84.-1-31.11,31.11,14506,East County House Road,14411,210,Town of Albion,Friday,September 2023,334080.448242188,2784.63268131772
156,83.-1-31,31,13955,West County House Road,14411,210,Town of Albion,Friday,September 2023,20375.6644287109,577.194953986876
157,84.-1-31.121,31.121,14516,East County House Road,14411,210,Town of Albion,Friday,September 2023,160655.120727539,1972.44077244628
158,84.-1-31.2,31.2,14530,East County House Road,14411,210,Town of Albion,Friday,September 2023,59510.9956054688,995.175298110435
159,83.-1-39,39,13825,West County House Road,14411,210,Town of Albion,Friday,September 2023,31651.8576660156,768.032629469287
160,83.-1-40,40,13835,West County House Road,14411,210,Town of Albion,Friday,September 2023,33094.0338134766,728.715022234107
161,83.-1-41,41,13845,West County House Road,14411,210,Town of Albion,Friday,September 2023,37169.2048339844,775.048915349965
162,83.-1-42,42,13855,West County House Road,14411,210,Town of Albion,Friday,September 2023,38333.5051269531,791.716244723167
163,71.-1-61.1,61.1,12795,Route 31,14411,241,Town of Albion,Friday,September 2023,1752782.32434082,5549.09970109171
164,82.-1-32,32,12834,Route 31,14411,241,Town of Albion,Friday,September 2023,1987544.64953613,5997.09992760894
165,85.-1-2.2,2.2,3840,Riches Corners Road,14411,210,Town of Albion,Friday,September 2023,68218.5026855469,1050.50086202776
166,72.-1-8.21,8.21,3429,Gaines Basin Road,14411,425,Town of Albion,Friday,September 2023,191196.544555664,2143.54290883047
167,71.-1-61.1,61.1,12795,Route 31,14411,241,Town of Albion,Friday,September 2023,916473.256103516,3849.95066320723
168,72.-3-33.13,33.13,0,Route 31,14411,314,Town of Albion,Friday,September 2023,35902.6301269531,935.537368985006
169,82.-2-25.1,25.1,13303,West County House Road,14411,210,Town of Albion,Friday,September 2023,23405.6488037109,662.760705531894
170,82.-2-25.2,25.2,13305,West County House Road,14411,210,Town of Albion,Friday,September 2023,62670.2198486328,1006.37603616621
171,83.-1-26,26,14107,West County House Road,14411,210,Town of Albion,Friday,September 2023,13638.2913818359,476.107187072118
172,83.-1-27,27,14115,West County House Road,14411,210,Town of Albion,Friday,September 2023,14910.6290283203,494.586165053391
173,83.-1-58,58,13553,West County House Road,14411,210,Town of Albion,Friday,September 2023,55153.7750244141,951.820459105084
174,84.-1-22.4,22.4,0,Lewis Road,14411,322,Town of Albion,Friday,September 2023,1305623.15222168,5230.48318926593
175,82.-1-30,30,4003,Wood Road,14411,210,Town of Albion,Friday,September 2023,80843.6740722656,1234.88967405843
176,83.-1-23,23,14069,West County House Road,14411,270,Town of Albion,Friday,September 2023,46951.2625732422,871.665003170447
177,83.-1-24,24,14079,West County House Road,14411,270,Town of Albion,Friday,September 2023,38800.9719238281,802.46328895277
178,82.-2-10,10,13249,West County House Road,14411,210,Town of Albion,Friday,September 2023,151718.76953125,1578.03262157394
179,83.-1-52,52,13721,West County House Road,14411,210,Town of Albion,Friday,September 2023,76775.9177246094,1124.57463508088
180,83.-1-25,25,14091,West County House Road,14411,210,Town of Albion,Friday,September 2023,149323.854736328,1952.5156590569
181,84.-1-18.2,18.2,14765,East Lee Road,14411,322,Town of Albion,Friday,September 2023,444198.514770508,3669.9456676839
182,82.-1-17,17,3973,Long Bridge Road,14411,210,Town of Albion,Friday,September 2023,165898.66027832,1753.86219550776
183,82.-2-11.11,11.11,13295,West County House Road,14411,210,Town of Albion,Friday,September 2023,96187.7369384766,1256.7174350378
184,85.-1-58,58,14845,East Lee Road,14411,240,Town of Albion,Friday,September 2023,689622.463989258,3390.7800911513
185,84.-1-63.12,63.12,14259,West County House Road,14411,210,Town of Albion,Friday,September 2023,50118.3679199219,901.58329579967
186,84.-1-68.2,68.2,14171,West County House Road,14411,270,Town of Albion,Friday,September 2023,74156.0104980469,1089.78957849183
187,84.-1-63.2,63.2,14271,West County House Road,14411,210,Town of Albion,Friday,September 2023,50820.1636962891,906.693973224479
188,85.-1-43.12,43.12,0,East Lee Road,14411,105,Town of Albion,Friday,September 2023,828052.256103516,4574.58059717639
189,85.-1-40.2,40.2,0,East Lee Road,14411,120,Town of Albion,Friday,September 2023,563245.933105469,3063.6567631347
190,85.-1-35,35,14959,East Lee Road,14411,210,Town of Albion,Friday,September 2023,71648.7473144531,1609.23173109518
191,85.-1-37.5,37.5,14985,East Lee Road,14411,240,Town of Albion,Friday,September 2023,429805.426147461,2641.65966743486
192,85.-1-30.2,30.2,0,East Lee Road,14411,105,Town of Albion,Friday,September 2023,1683595.19506836,6092.51961510008
193,84.-1-14.1,14.1,14684,East County House Road,14411,312,Town of Albion,Friday,September 2023,40634.3244628906,966.036607231715
194,85.-1-27,27,15033,East Lee Road,14411,210,Town of Albion,Friday,September 2023,168771.437988281,1740.73003968136
195,84.-1-35.2,35.2,14585,East County House Road,14411,210,Town of Albion,Friday,September 2023,41628.8011474609,817.77950420731
196,85.-1-26,26,15047,East Lee Road,14411,210,Town of Albion,Friday,September 2023,144588.375,1653.99301252653
197,85.-1-24.2,24.2,0,East Lee Road,14411,311,Town of Albion,Friday,September 2023,91376.0004882813,1259.4784993575
198,85.-1-23,23,15071,East Lee Road,14411,270,Town of Albion,Friday,September 2023,195002.696533203,1856.55995848113
199,85.-1-17.1,17.1,15091,East Lee Road,14411,210,Town of Albion,Friday,September 2023,342079.99597168,2406.73041895163
200,83.-1-64.2,64.2,0,West County House Road,14411,105,Town of Albion,Friday,September 2023,621340.993041992,3782.25836828816
201,85.-2-34.121,34.121,15182,East Lee Road,14411,240,Town of Albion,Friday,September 2023,815514.412353516,4799.8090345018
202,85.-2-36,36,0,Swamp Road,14411,323,Town of Albion,Friday,September 2023,182460.489624023,3075.86018425215
203,85.-2-37,37,0,Swamp Road,14411,323,Town of Albion,Friday,September 2023,122260.904052734,3625.94490929642
204,83.-1-32.3,32.3,3993,Gaines Basin Road,14411,240,Town of Albion,Friday,September 2023,700690.210693359,3693.1456508878
205,85.-2-38,38,0,Swamp Road,14411,323,Town of Albion,Friday,September 2023,322783.447387695,3861.89296753858
206,85.-2-39,39,0,Swamp Road,14411,323,Town of Albion,Friday,September 2023,327844.3359375,3875.23486453952
207,85.-2-40,40,0,Swamp Road,14411,323,Town of Albion,Friday,September 2023,360976.435791016,3919.16552948697
208,85.-2-42,42,0,Swamp Road,14411,323,Town of Albion,Friday,September 2023,229932.767211914,3773.64548486401
209,85.-2-43,43,0,Swamp Road,14411,323,Town of Albion,Friday,September 2023,236010.823120117,3784.47804589688
210,85.-2-44,44,0,Swamp Road,14411,323,Town of Albion,Friday,September 2023,232625.826049805,3781.39764847213
211,85.-2-45,45,0,Swamp Road,14411,323,Town of Albion,Friday,September 2023,218124.096435547,3767.41532227366
212,82.-1-16,16,3953,Long Bridge Road,14411,210,Town of Albion,Friday,September 2023,163741.444702148,1741.80793408705
213,85.-2-46,46,0,Swamp Road,14411,323,Town of Albion,Friday,September 2023,432088.342651367,4018.09260426894
214,85.-2-26,26,0,Swamp Road,14411,323,Town of Albion,Friday,September 2023,386580.219604492,3971.64439564445
215,84.-1-13,13,14675,East County House Road,14411,270,Town of Albion,Friday,September 2023,149398.169799805,1620.02208386233
216,85.-2-25,25,0,Swamp Road,14411,323,Town of Albion,Friday,September 2023,414844.673217773,4016.88697566696
217,85.-2-24,24,0,Swamp Road,14411,323,Town of Albion,Friday,September 2023,433622.314086914,3210.3962067211
218,85.-1-31.12,31.12,3990,Riches Corners Road,14411,210,Town of Albion,Friday,September 2023,155771.99230957,2045.28300518316
219,85.-2-23,23,0,Swamp Road,14411,323,Town of Albion,Friday,September 2023,422759.11706543,3177.04066790705
220,85.-2-22,22,0,Swamp Road,14411,323,Town of Albion,Friday,September 2023,424668.702392578,3170.34662772435
221,85.-1-1.121,1.121,14788,Holley Road,14411,220,Town of Albion,Friday,September 2023,73291.0535888672,1133.83223587003
222,84.-1-75.12,75.12,0,Holley Road,14411,105,Town of Albion,Friday,September 2023,3477042.45043945,11399.596981003
223,85.-2-21,21,0,Swamp Road,14411,323,Town of Albion,Friday,September 2023,431418.582763672,3170.81909402669
224,85.-2-20,20,0,Swamp Road,14411,323,Town of Albion,Friday,September 2023,170752.715698242,2734.24981458918
225,85.-2-19,19,0,Swamp Road,14411,323,Town of Albion,Friday,September 2023,252133.552001953,2857.50610499029
226,85.-2-18,18,0,Swamp Road,14411,323,Town of Albion,Friday,September 2023,417783.037841797,3118.491439915
227,85.-2-13,13,0,Transit Road,14411,105,Town of Albion,Friday,September 2023,1105682.44189453,4266.3047928795
228,83.-1-38.2,38.2,3974,Gaines Basin Road,14411,210,Town of Albion,Friday,September 2023,58423.4665527344,1012.98378389485
229,84.-1-35.12,35.12,14491,East County House Road,14411,210,Town of Albion,Friday,September 2023,148266.548217773,1618.66019523793
230,84.-1-63.11,63.11,3972,Route 98,14411,280,Town of Albion,Friday,September 2023,1138582.59765625,5712.91898612266
231,83.-1-65,65,3961,Eagle Harbor West Barre Road,14411,210,Town of Albion,Friday,September 2023,84071.7022705078,1206.83459281712
232,83.-1-32.41,32.41,3969,Gaines Basin Road,14411,270,Town of Albion,Friday,September 2023,386512.70324707,3174.67494301094
233,84.-1-10,10,14763,East County House Road,14411,240,Town of Albion,Friday,September 2023,1164514.07397461,6093.92885584186
234,82.-1-31.2,31.2,4025,Wood Road,14411,210,Town of Albion,Friday,September 2023,56239.1259765625,950.401485853974
